remark;"CSV-Import-Export"
remark;"Date = Fri Jul 29 11:57:42 2022"
remark;"Version = RSLogix 5000 v31.02"
remark;"Owner = enviro"
remark;"Company = "
0.3
TYPE;SCOPE;NAME;DESCRIPTION;DATATYPE;SPECIFIER;ATTRIBUTES
TAG;;HMI_SEL_LIC_0101;"";"BOOL";"";"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG;;HMI_Silenciar_Alarma_Sonora;"";"BOOL";"";"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG;;Index_Caudales;"";"DINT";"";"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG;;JCP_EIF_400A;"";"F_DI";"";"(Constant := false, ExternalAccess := Read/Write)"
TAG;;JCP_EIF_400B;"";"F_DI";"";"(Constant := false, ExternalAccess := Read/Write)"
TAG;;JCP_FIT_01;"";"F_AI";"";"(Constant := false, ExternalAccess := Read/Write)"
TAG;;JCP_FIT_0101A;"";"F_AI";"";"(Constant := false, ExternalAccess := Read/Write)"
TAG;;JCP_FIT_0101AAlm_PVLAlArm_Latch;"";"BOOL";"";"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG;;JCP_FIT_0101AAlm_PVLLAlArm_Latch;"";"BOOL";"";"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG;;JCP_FIT_0101A_Acumulado;"";"UDT_Caudales_Diarios[100]";"";"(Constant := false, ExternalAccess := Read/Write)"
TAG;;JCP_FIT_0101A_Acumulado_Index;"";"UDT_Caudales_Diarios";"";"(Constant := false, ExternalAccess := Read/Write)"
TAG;;JCP_FIT_0101A_Diario;"";"F_TOT";"";"(Constant := false, ExternalAccess := Read/Write)"
TAG;;JCP_FIT_0101B;"";"F_AI";"";"(Constant := false, ExternalAccess := Read/Write)"
TAG;;JCP_FIT_0101BAlm_PVLAlArm_Latch;"";"BOOL";"";"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG;;JCP_FIT_0101BAlm_PVLLAlArm_Latch;"";"BOOL";"";"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG;;JCP_FIT_0101B_Acumulado;"";"UDT_Caudales_Diarios[100]";"";"(Constant := false, ExternalAccess := Read/Write)"
TAG;;JCP_FIT_0101B_Acumulado_Index;"";"UDT_Caudales_Diarios";"";"(Constant := false, ExternalAccess := Read/Write)"
TAG;;JCP_FIT_0101B_Diario;"";"F_TOT";"";"(Constant := false, ExternalAccess := Read/Write)"
TAG;;JCP_FIT_0101C;"";"F_AI";"";"(Constant := false, ExternalAccess := Read/Write)"
TAG;;JCP_FIT_0101CAlm_PVLAlArm_Latch;"";"BOOL";"";"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG;;JCP_FIT_0101CAlm_PVLLAlArm_Latch;"";"BOOL";"";"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG;;JCP_FIT_0101C_Acumulado;"";"UDT_Caudales_Diarios[100]";"";"(Constant := false, ExternalAccess := Read/Write)"
TAG;;JCP_FIT_0101C_Acumulado_Index;"";"UDT_Caudales_Diarios";"";"(Constant := false, ExternalAccess := Read/Write)"
TAG;;JCP_FIT_0101C_Diario;"";"F_TOT";"";"(Constant := false, ExternalAccess := Read/Write)"
TAG;;JCP_FIT_011;"";"F_AI";"";"(Constant := false, ExternalAccess := Read/Write)"
TAG;;JCP_FIT_011_Acumulado;"";"UDT_Caudales_Diarios[100]";"";"(Constant := false, ExternalAccess := Read/Write)"
TAG;;JCP_FIT_011_Acumulado_Index;"";"UDT_Caudales_Diarios";"";"(Constant := false, ExternalAccess := Read/Write)"
TAG;;JCP_FIT_011_Diario;"";"F_TOT";"";"(Constant := false, ExternalAccess := Read/Write)"
TAG;;JCP_FIT_012;"";"F_AI";"";"(Constant := false, ExternalAccess := Read/Write)"
TAG;;JCP_FIT_012_Acumulado;"";"UDT_Caudales_Diarios[100]";"";"(Constant := false, ExternalAccess := Read/Write)"
TAG;;JCP_FIT_012_Acumulado_Index;"";"UDT_Caudales_Diarios";"";"(Constant := false, ExternalAccess := Read/Write)"
TAG;;JCP_FIT_012_Diario;"";"F_TOT";"";"(Constant := false, ExternalAccess := Read/Write)"
TAG;;JCP_FIT_01_Acumulado;"";"UDT_Caudales_Diarios[100]";"";"(Constant := false, ExternalAccess := Read/Write)"
